gps_lat,gps_long,lat,long,city,state,area,country,state_flag
38.65,-119.26,38.784209999999995,-119.34425,Smith Valley,Nevada,Lyon County,US,Nevada
28.03,-120.16,30.407220000000002,-115.88722,Luis Rodriguez (El Vergel),Baja California,Ensenada,MX,None
33.84,-85.48,33.92455,-85.61135,Piedmont,Alabama,Calhoun County,US,Alabama
28.14,-92.94,29.79772,-93.32515,Cameron,Louisiana,Cameron Parish,US,Louisiana
49.52,-87.98,49.73343,-87.16668,Greenstone,Ontario,,CA,None
36.25,-77.93,36.03849,-77.90637,Red Oak,North Carolina,Nash County,US,North Carolina
38.13,-96.72,38.372240000000005,-96.54278000000001,Cottonwood Falls,Kansas,Chase County,US,Kansas
37.03,-120.57,36.986059999999995,-120.62657,Dos Palos,California,Merced County,US,California
34.68,-74.98,35.26768,-75.54236999999999,Buxton,North Carolina,Dare County,US,North Carolina
39.67,-80.77,39.64452,-80.8576,New Martinsville,West Virginia,Wetzel County,US,West Virginia
25.17,-66.04,21.46122,-71.14188,Cockburn Town,,,TC,None
28.96,-87.57,30.24604,-87.70082,Gulf Shores,Alabama,Baldwin County,US,Alabama
31.32,-89.25,31.34656,-89.26006,Petal,Mississippi,Forrest County,US,Mississippi
50.64,-90.37,48.75667,-91.62409,Atikokan,Ontario,Rainy River District,CA,None
49.57,-118.38,49.03309,-118.4356,Grand Forks,British Columbia,,CA,None
48.81,-122.79,48.91789,-122.74462,Birch Bay,Washington,Whatcom County,US,Washington
30.93,-102.12,30.91405,-101.89791,Iraan,Texas,Pecos County,US,Texas
24.28,-72.6,24.05179,-74.53138,Cockburn Town,San Salvador,,BS,None
40.38,-66.89,41.28346,-70.09946,Nantucket,Massachusetts,Nantucket County,US,Massachusetts
43.82,-74.02,43.49674,-73.77623,Warrensburg,New York,Warren County,US,New York
25.42,-110.98,26.01217,-111.34888,Loreto,Baja California Sur,Loreto,MX,None
25.56,-79.49,25.71667,-79.3,Alice Town,Bimini,,BS,None
36.37,-84.78,36.42757,-84.93189,Jamestown,Tennessee,Fentress County,US,Tennessee
26.98,-110.64,27.35167,-110.45472,Bahia de Lobos,Sonora,San Ignacio Rio Muerto,MX,None
45.45,-84.26,45.64696,-84.47448,Cheboygan,Michigan,Cheboygan County,US,Michigan
35.57,-94.58,35.4212,-94.51466,Roland,Oklahoma,Sequoyah County,US,Oklahoma
48.83,-102.68,49.13337,-102.98422,Estevan,Saskatchewan,,CA,None
26.28,-98.2,26.30174,-98.16334,Edinburg,Texas,Hidalgo County,US,Texas
35.44,-118.25,35.66579,-118.29036,Weldon,California,Kern County,US,California
29.71,-68.3,32.2949,-64.78303,Hamilton,Hamilton city,,BM,None
47.25,-97.56,47.49804,-97.32454,Mayville,North Dakota,Traill County,US,North Dakota
26.94,-114.87,27.14231,-114.29582,Bahia Asuncion,Baja California Sur,Mulege,MX,None
36.41,-120.18,36.60662,-120.18904,San Joaquin,California,Fresno County,US,California
30.17,-121.71,34.41333,-119.86097,Isla Vista,California,Santa Barbara County,US,California
25.73,-102.53,25.44156,-102.1792,Parras de la Fuente,Coahuila,,MX,None
29.85,-94.06,29.88519,-93.94233,Port Arthur,Texas,Jefferson County,US,Texas
39.65,-80.61,39.64452,-80.8576,New Martinsville,West Virginia,Wetzel County,US,West Virginia
40.67,-103.06,40.62554,-103.20771,Sterling,Colorado,Logan County,US,Colorado
33.17,-113.52,33.78114,-113.61465,Salome,Arizona,La Paz County,US,Arizona
32.1,-71.54,35.26768,-75.54237,Buxton,North Carolina,Dare County,US,North Carolina
26.62,-86.74,29.81188,-85.30297,Port Saint Joe,Florida,Gulf County,US,Florida
48.6,-96.19,48.11914,-96.18115,Thief River Falls,Minnesota,Pennington County,US,Minnesota
45.42,-100.6,45.53722,-100.42791,Mobridge,South Dakota,Walworth County,US,South Dakota
46.96,-107.31,47.32083,-106.91007,Jordan,Montana,Garfield County,US,Montana
39.43,-122.36,39.52433,-122.19359,Willows,California,Glenn County,US,California
28.18,-71.41,24.05179,-74.53138,Cockburn Town,San Salvador,,BS,None
40.09,-89.49,40.14838,-89.36482,Lincoln,Illinois,Logan County,US,Illinois
33.69,-68.4,32.2949,-64.78303,Hamilton,Hamilton city,,BM,None
25.59,-104.37,25.2275,-104.11389,Nazas,Durango,Nazas,MX,None
43.11,-112.04,43.3813,-112.12331,Shelley,Idaho,Bingham County,US,Idaho
48.13,-87.14,48.7501,-86.43322,Marathon,Ontario,,CA,None
37.46,-101.21,37.58141,-101.35517,Ulysses,Kansas,Grant County,US,Kansas
35.56,-117.75,35.64051,-117.76395,China Lake Acres,California,Kern County,US,California
48.56,-87.07,48.7501,-86.43322,Marathon,Ontario,,CA,None
24.23,-71.03,22.36667,-72.96667,Abraham's Bay,Mayaguana,,BS,None
29.95,-119.4,32.10083,-116.86917,Santa Anita,Baja California,Playas de Rosarito,MX,None
44.4,-121.32,44.3529,-121.17781,Terrebonne,Oregon,Deschutes County,US,Oregon
48.72,-82.92,49.41694,-82.43308,Kapuskasing,Ontario,,CA,None
30.87,-88.39,30.92519,-88.59002,Lucedale,Mississippi,George County,US,Mississippi
29.17,-94.27,29.47829,-94.57991,Bolivar Peninsula,Texas,Galveston County,US,Texas
50.97,-74.07,49.91684,-74.36586,Chibougamau,Quebec,Nord-du-Quebec,CA,None
38.92,-66.1,41.28346,-70.09946,Nantucket,Massachusetts,Nantucket County,US,Massachusetts
38.69,-99.1,38.85279,-99.1476,Victoria,Kansas,Ellis County,US,Kansas
42.95,-110.54,43.28187,-110.78381,Hoback,Wyoming,Teton County,US,Wyoming
43.86,-111.75,43.87297,-111.7483,Sugar City,Idaho,Madison County,US,Idaho
45.77,-66.88,45.94541,-66.66558,Fredericton,New Brunswick,,CA,None
38.92,-66.25,41.28346,-70.09946,Nantucket,Massachusetts,Nantucket County,US,Massachusetts
34.05,-118.89,34.00501,-118.81009,Malibu,California,Los Angeles County,US,California
46.63,-110.98,46.54828,-110.90216,White Sulphur Springs,Montana,Meagher County,US,Montana
28.35,-120.19,30.40722,-115.88722,Luis Rodriguez (El Vergel),Baja California,Ensenada,MX,None
50.83,-88.09,49.73343,-87.16668,Greenstone,Ontario,,CA,None
36.02,-97.64,35.95254,-97.59477,Crescent,Oklahoma,Logan County,US,Oklahoma
25.08,-82.82,24.5557,-81.78259,Key West,Florida,Monroe County,US,Florida
29.63,-88.12,30.25548,-88.10972,Dauphin Island,Alabama,Mobile County,US,Alabama
33.19,-97.59,33.23428,-97.58614,Decatur,Texas,Wise County,US,Texas
34.11,-104.18,34.47173,-104.24553,Fort Sumner,New Mexico,De Baca County,US,New Mexico
46.95,-78.48,46.72122,-79.09712,Temiscaming,Quebec,Abitibi-Temiscamingue,CA,None
31.57,-100.29,31.46377,-100.43704,San Angelo,Texas,Tom Green County,US,Texas
48.71,-94.04,48.71247,-94.59993,Baudette,Minnesota,Lake of the Woods County,US,Minnesota
38.2,-97.49,38.20307,-97.51921,Moundridge,Kansas,McPherson County,US,Kansas
39.51,-119.58,39.53491,-119.75269,Sparks,Nevada,Washoe County,US,Nevada
37.42,-93.17,37.38393,-93.1513,Fair Grove,Missouri,Greene County,US,Missouri
33.75,-79.91,33.66766,-79.83063,Kingstree,South Carolina,Williamsburg County,US,South Carolina
32.97,-119.63,34.14778,-119.19511,Port Hueneme,California,Ventura County,US,California
47.05,-107.08,47.32083,-106.91007,Jordan,Montana,Garfield County,US,Montana
47.09,-87.81,47.41381,-88.29566,Eagle River,Michigan,Keweenaw County,US,Michigan
27.03,-122.17,30.40722,-115.88722,Luis Rodriguez (El Vergel),Baja California,Ensenada,MX,None
43.59,-121.88,43.6704,-121.50364,La Pine,Oregon,Deschutes County,US,Oregon
30.15,-84.88,30.43247,-84.97702,Bristol,Florida,Liberty County,US,Florida
25.09,-111.08,24.93,-111.62806,Villa Morelos,Baja California Sur,Comondu,MX,None
38.39,-118.47,38.52464,-118.62458,Hawthorne,Nevada,Mineral County,US,Nevada
45.25,-108.49,44.83745,-108.38956,Lovell,Wyoming,Big Horn County,US,Wyoming
47.64,-121.69,47.49566,-121.78678,North Bend,Washington,King County,US,Washington
33.18,-116.77,33.04171,-116.86808,Ramona,California,San Diego County,US,California
43.19,-78.44,43.21256,-78.47641,Middleport,New York,Niagara County,US,New York
24.85,-82.73,24.5557,-81.78259,Key West,Florida,Monroe County,US,Florida
37.81,-101.99,37.98057,-101.75267,Syracuse,Kansas,Hamilton County,US,Kansas
41.35,-107.76,41.79107,-107.23866,Rawlins,Wyoming,Carbon County,US,Wyoming
24.61,-118.78,27.14231,-114.29582,Bahia Asuncion,Baja California Sur,Mulege,MX,None
43.39,-69.79,43.82064,-69.81477,Phippsburg,Maine,Sagadahoc County,US,Maine
33.32,-81.68,33.42153,-81.68567,New Ellenton,South Carolina,Aiken County,US,South Carolina
47.17,-92.47,47.46243,-92.53991,Eveleth,Minnesota,Saint Louis County,US,Minnesota
47.02,-71.53,46.88026,-71.51464,Shannon,Quebec,Capitale-Nationale,CA,None
49.48,-96.75,49.52579,-96.68451,Steinbach,Manitoba,,CA,None
40.9,-99.87,40.85973,-99.98734,Cozad,Nebraska,Dawson County,US,Nebraska
42.72,-123.32,42.92734,-123.28117,Canyonville,Oregon,Douglas County,US,Oregon
46.69,-100.8,46.80833,-100.78374,Bismarck,North Dakota,Burleigh County,US,North Dakota
36.88,-104.68,36.90336,-104.43915,Raton,New Mexico,Colfax County,US,New Mexico
44.15,-75.19,44.33673,-75.46299,Gouverneur,New York,St. Lawrence County,US,New York
29.93,-74.62,26.54124,-77.0636,Marsh Harbour,Central Abaco,,BS,None
33.92,-98.31,33.81732,-98.19532,Henrietta,Texas,Clay County,US,Texas
31.53,-109.33,31.34473,-109.54678,Douglas,Arizona,Cochise County,US,Arizona
25.42,-116.56,27.14231,-114.29582,Bahia Asuncion,Baja California Sur,Mulege,MX,None
26.55,-83.21,27.05311,-82.42426,South Venice,Florida,Sarasota County,US,Florida
35.55,-80.35,35.55125,-80.40645,Rockwell,North Carolina,Rowan County,US,North Carolina
25.05,-112.14,25.26318,-111.77547,Ciudad Insurgentes,Baja California Sur,,MX,None
47.73,-88.8,47.41381,-88.29566,Eagle River,Michigan,Keweenaw County,US,Michigan
33.08,-84.43,33.10235,-84.3427,Zebulon,Georgia,Pike County,US,Georgia
49.92,-109.13,49.91678,-109.48481,Maple Creek,Saskatchewan,,CA,None
27.44,-118.72,30.40722,-115.88722,Luis Rodriguez (El Vergel),Baja California,Ensenada,MX,None
25.64,-104.36,25.2275,-104.11389,Nazas,Durango,Nazas,MX,None
24.19,-109.85,24.13811,-110.30973,La Paz,Baja California Sur,La Paz,MX,None
