gps_lat,gps_long,lat,long,city,state,area,country,state_flag
-17.85,152.99,-21.15345,149.16554,Mackay,Queensland,Mackay,AU,Queensland
-42.1,127.83,-33.86013,121.88259,Esperance,Western Australia,Esperance Shire,AU,Western Australia
-34.16,131.24,-32.1266,133.67271000000002,Ceduna,South Australia,Ceduna,AU,South Australia
-10.94,137.65,-12.18652,136.78201,Nhulunbuy,Northern Territory,East Arnhem,AU,Northern Territory
-21.54,146.43,-20.076710000000002,146.26353,Charters Towers,Queensland,Charters Towers,AU,Queensland
-17.93,131.35,-19.6497,134.19146999999998,Tennant Creek,Northern Territory,Barkly,AU,Northern Territory
-9.37,142.01,-8.71065,141.63668,Morehead,Western Province,,PG,None
-17.75,143.93,-17.60758,145.48091000000002,Ravenshoe,Queensland,Tablelands,AU,Queensland
-29.63,153.63,-29.4581,153.19753,Maclean,New South Wales,Clarence Valley,AU,New South Wales
-10.63,114.01,-8.5898,114.1189,Sidorukun,East Java,,ID,None
-27.01,115.72,-28.183329999999998,116.73333000000001,Melville,Western Australia,Yalgoo,AU,Western Australia
-27.07,135.68,-29.01415,134.75495,Coober Pedy,South Australia,Coober Pedy,AU,South Australia
-11.61,137.55,-12.18652,136.78201,Nhulunbuy,Northern Territory,East Arnhem,AU,Northern Territory
-10.42,124.31,-10.1156,124.1871,Bikoen,East Nusa Tenggara,,ID,None
-18.61,143.05,-20.843989999999998,144.20035,Hughenden,Queensland,Flinders,AU,Queensland
-19.12,131.11,-19.6497,134.19146999999998,Tennant Creek,Northern Territory,Barkly,AU,Northern Territory
-18.4,150.7,-20.4011,148.5802,Proserpine,Queensland,Whitsunday,AU,Queensland
-41.69,133.84,-35.6559,137.6393,Kingscote,South Australia,Kangaroo Island,AU,South Australia
-10.87,116.41,-8.9659,116.74916999999999,Sekongkang Bawah,West Nusa Tenggara,,ID,None
-10.72,146.75,-9.81847,147.65968,Kwikila,Central Province,Rigo,PG,None
-13.39,121.07,-10.6212,121.5749,Loboma,East Nusa Tenggara,,ID,None
-38.12,120.19,-34.95778,117.93833000000001,Lower King,Western Australia,Albany,AU,Western Australia
-20.6,139.51,-20.72523,139.49727,Mount Isa,Queensland,Mount Isa,AU,Queensland
-28.79,152.81,-28.858190000000004,153.04748,Casino,New South Wales,Richmond Valley,AU,New South Wales
-24.98,129.98,-23.69748,133.88362,Alice Springs,Northern Territory,Alice Springs,AU,Northern Territory
-38.57,134.49,-34.72625,135.87442,Port Lincoln,South Australia,Port Lincoln,AU,South Australia
-28.87,146.51,-29.96067,146.85986,Brewarrina,New South Wales,Brewarrina,AU,New South Wales
-21.03,136.49,-19.6497,134.19146999999998,Tennant Creek,Northern Territory,Barkly,AU,Northern Territory
-11.91,130.08,-12.38299,130.8517,Nightcliff,Northern Territory,Darwin,AU,Northern Territory
-27.66,120.81,-30.746140000000004,121.4742,Kalgoorlie,Western Australia,Kalgoorlie/Boulder,AU,Western Australia
-34.44,132.52,-32.79554,134.20928,Streaky Bay,South Australia,Streaky Bay,AU,South Australia
-24.52,139.22,-27.707279999999997,140.73696999999999,Innamincka,South Australia,,AU,South Australia
-10.81,141.81,-10.579369999999999,142.21686,Thursday Island,Queensland,Torres,AU,Queensland
-30.14,125.32,-30.866670000000003,121.76666999999999,Stoneville,Western Australia,Kalgoorlie/Boulder,AU,Western Australia
-10.44,114.54,-8.8323,115.1247,Pecatu,Bali,,ID,None
-14.56,121.55,-17.30295,123.62863999999999,Derby,Western Australia,Derby-West Kimberley,AU,Western Australia
-19.81,152.88,-23.126829999999998,150.74406000000002,Yeppoon,Queensland,Rockhampton,AU,Queensland
-39.38,152.27,-37.06322,149.90401,Eden,New South Wales,Bega Valley,AU,New South Wales
-38.77,135.3,-35.6559,137.6393,Kingscote,South Australia,Kangaroo Island,AU,South Australia
-31.62,150.81,-31.50763,150.67902,Quirindi,New South Wales,Liverpool Plains,AU,New South Wales
-36.88,130.49,-32.79554,134.20928,Streaky Bay,South Australia,Streaky Bay,AU,South Australia
-28.72,121.94,-30.746140000000004,121.4742,Kalgoorlie,Western Australia,Kalgoorlie/Boulder,AU,Western Australia
-41.71,122.9,-33.86013,121.88259,Esperance,Western Australia,Esperance Shire,AU,Western Australia
-36.21,116.5,-34.96067,117.35321,Denmark,Western Australia,Denmark,AU,Western Australia
-18.43,148.3,-19.573929999999997,147.40666000000002,Ayr,Queensland,Burdekin,AU,Queensland
-17.71,141.92,-20.707179999999997,140.51303000000001,Cloncurry,Queensland,Cloncurry,AU,Queensland
-17.41,121.15,-17.955379999999998,122.23921999999999,Broome,Western Australia,Broome,AU,Western Australia
-9.63,145.43,-7.963089999999999,145.77851,Kerema,Gulf,,PG,None
-16.41,130.79,-15.778129999999999,128.74414,Kununurra,Western Australia,Wyndham-East Kimberley,AU,Western Australia
-12.59,136.06,-12.18652,136.78201,Nhulunbuy,Northern Territory,East Arnhem,AU,Northern Territory
-19.25,115.01,-20.66275,116.71256000000001,Dampier,Western Australia,Roebourne,AU,Western Australia
-36.22,131.65,-32.79554,134.20928,Streaky Bay,South Australia,Streaky Bay,AU,South Australia
-20.17,123.34,-17.955379999999998,122.23921999999999,Broome,Western Australia,Broome,AU,Western Australia
-38.13,132.94,-34.72625,135.87442,Port Lincoln,South Australia,Port Lincoln,AU,South Australia
-26.89,124.69,-30.866670000000003,121.76666999999999,Stoneville,Western Australia,Kalgoorlie/Boulder,AU,Western Australia
-39.26,133.84,-34.72625,135.87442,Port Lincoln,South Australia,Port Lincoln,AU,South Australia
-9.68,126.8,-8.8575,126.36471999999999,Viqueque,Viqueque,,TL,None
-19.02,117.31,-20.66275,116.71256000000001,Dampier,Western Australia,Roebourne,AU,Western Australia
-29.61,145.21,-30.09011,145.93646,Bourke,New South Wales,Bourke,AU,New South Wales
-42.86,150.69,-41.32028,148.23889,St Helens,Tasmania,Break O'Day,AU,Tasmania
-26.98,129.29,-23.69748,133.88362,Alice Springs,Northern Territory,Alice Springs,AU,Northern Territory
-22.38,139.54,-20.72523,139.49727,Mount Isa,Queensland,Mount Isa,AU,Queensland
-25.17,140.52,-27.707279999999997,140.73696999999999,Innamincka,South Australia,,AU,South Australia
-30.63,142.0,-31.96173,141.45998,Broken Hill,New South Wales,Broken Hill Municipality,AU,New South Wales
-36.27,149.11,-36.235170000000004,149.12408,Cooma,New South Wales,Cooma-Monaro,AU,New South Wales
-26.4,131.09,-23.69748,133.88362,Alice Springs,Northern Territory,Alice Springs,AU,Northern Territory
-24.74,122.97,-23.35644,119.73553000000001,Newman,Western Australia,East Pilbara,AU,Western Australia
-11.87,131.21,-12.36667,130.9,Leanyer,Northern Territory,Darwin,AU,Northern Territory
-37.23,124.99,-33.86013,121.88259,Esperance,Western Australia,Esperance Shire,AU,Western Australia
-24.07,150.2,-24.395889999999998,150.51504,Biloela,Queensland,Banana,AU,Queensland
-20.54,120.93,-20.31215,118.61058999999999,Port Hedland,Western Australia,Port Hedland,AU,Western Australia
-12.78,132.09,-12.55397,131.11165,McMinns Lagoon,Northern Territory,Litchfield,AU,Northern Territory
-14.99,153.66,-10.61667,150.66666999999998,Samarai,Milne Bay,,PG,None
-33.63,141.84,-34.09468,142.03966,Dareton,New South Wales,Wentworth,AU,New South Wales
-34.43,139.98,-34.181779999999996,139.98552,Waikerie,South Australia,Loxton Waikerie,AU,South Australia
-33.36,149.96,-33.35709,149.98148,Portland,New South Wales,Lithgow,AU,New South Wales
-34.18,136.07,-34.37506,136.10333,Tumby Bay,South Australia,Tumby Bay,AU,South Australia
-32.62,142.91,-31.96173,141.45998,Broken Hill,New South Wales,Broken Hill Municipality,AU,New South Wales
-14.47,135.88,-13.85413,136.42129,Alyangula,Northern Territory,,AU,Northern Territory
-20.57,148.67,-20.4011,148.5802,Proserpine,Queensland,Whitsunday,AU,Queensland
-35.37,137.6,-35.11667,137.65,Honiton,South Australia,Yorke Peninsula,AU,South Australia
-42.34,139.79,-38.3462,141.60257,Portland,Victoria,Glenelg,AU,Victoria
-12.12,122.78,-10.934000000000001,122.8482,Oemau,East Nusa Tenggara,,ID,None
-27.03,136.48,-28.16048,138.6754,The Sill,South Australia,,AU,South Australia
-38.8,119.31,-35.0031,117.86595,Albany,Western Australia,Albany,AU,Western Australia
-40.68,125.63,-33.86013,121.88259,Esperance,Western Australia,Esperance Shire,AU,Western Australia
-37.25,129.5,-32.79554,134.20928,Streaky Bay,South Australia,Streaky Bay,AU,South Australia
-38.85,128.59,-32.79554,134.20928,Streaky Bay,South Australia,Streaky Bay,AU,South Australia
-24.1,129.4,-23.69748,133.88362,Alice Springs,Northern Territory,Alice Springs,AU,Northern Territory
-26.67,143.46,-27.707279999999997,140.73696999999999,Innamincka,South Australia,,AU,South Australia
-36.25,125.72,-33.86013,121.88259,Esperance,Western Australia,Esperance Shire,AU,Western Australia
